Time,EAR,Blink_Count,Deviation,Attention_Score,Looking_Away
1.9410581588745117,0.16174914225944442,0,-22,97,0
1.9910955429077148,0.24030623269202972,0,-23,97,0
2.023455858230591,0.21627617609456948,0,-22,94,0
2.0558061599731445,0.2234112234765344,0,-22,95,0
2.0848662853240967,0.2255201370399512,0,-22,96,0
2.117232322692871,0.23826707598568087,0,-22,96,0
2.1693010330200195,0.21906945844675169,0,-22,93,0
2.1973073482513428,0.22793189531319902,0,-22,94,0
2.2273783683776855,0.22486761589163784,0,-22,95,0
2.290405750274658,0.22544296116702478,0,-22,96,0
2.3236639499664307,0.21565234419213558,0,-22,93,0
2.355219841003418,0.21507699891674864,0,-22,91,0
2.385392904281616,0.2188389404181788,0,-22,89,0
2.41446852684021,0.23931079538833339,0,-22,91,0
2.483776330947876,0.2515077853820771,0,-22,92,0
2.5105860233306885,0.23842459220815698,0,-22,93,0
2.5753397941589355,0.22053488638555196,0,-21,94,0
2.6024279594421387,0.2374879712800425,0,-22,95,0
2.636298894882202,0.23842459220815698,0,-22,96,0
2.6670308113098145,0.248091014539463,0,-22,96,0
2.6975228786468506,0.2374879712800425,0,-22,96,0
2.7294013500213623,0.2374879712800425,0,-22,96,0
2.758352279663086,0.24169272187132196,0,-21,96,0
2.822110891342163,0.23440382138074936,0,-20,96,0
2.8538050651550293,0.2374879712800425,0,-20,96,0
2.8879168033599854,0.24224204318145243,0,-19,96,0
2.9155819416046143,0.22954724857650427,0,-20,96,0
2.941502809524536,0.23842459220815698,0,-19,96,0
2.9793930053710938,0.2273386431178145,0,-19,96,0
3.0096726417541504,0.22028028923480183,0,-19,96,0
3.0544497966766357,0.19022834596228844,0,-17,93,0
3.088329315185547,0.17937011482834614,0,-17,91,0
3.118893623352051,0.14032493015039565,0,-18,89,0
3.317988872528076,0.1563201770159476,0,-16,88,0
3.3555755615234375,0.20034437391479315,0,-15,87,0
3.3985836505889893,0.21462523074153192,0,-15,86,0
3.4348855018615723,0.1963173508295061,0,-15,85,0
3.48295521736145,0.18109265937070834,0,-15,85,0
3.5242819786071777,0.18109265937070834,0,-15,85,0
3.5723373889923096,0.1836629909258259,0,-14,85,0
3.6000592708587646,0.20034437391479315,0,-15,85,0
3.628173589706421,0.2117080102784295,0,-15,85,0
3.662184476852417,0.20156574880665667,0,-15,85,0
3.695805549621582,0.15394968959569122,0,-15,85,0
3.723937749862671,0.17726738552585103,0,-15,85,0
3.7554636001586914,0.15150106872698482,0,-15,85,0
3.787774085998535,0.13460048189558593,0,-15,85,0
3.8203320503234863,0.1374193147683602,0,-15,85,0
3.847404956817627,0.15556059101882236,0,-15,85,0
3.8806211948394775,0.1594681762596684,0,-14,85,0
3.9116199016571045,0.17618100242185925,0,-14,85,0
3.942525625228882,0.16157474483321033,0,-14,85,0
3.9752633571624756,0.1801110864820449,0,-14,85,0
4.00740647315979,0.18413743279414996,0,-14,85,0
4.0402748584747314,0.17969517474440205,0,-13,85,0
4.069330930709839,0.2162926186629297,0,-13,77,0
4.098569869995117,0.2137228242661967,0,-13,70,0
4.134456396102905,0.1930557416208935,0,-12,65,0
4.16198205947876,0.20023888370902834,0,-11,61,0
4.196972846984863,0.20156574880665667,0,-11,57,0
4.2267279624938965,0.19197111837865902,0,-10,54,0
4.257419586181641,0.18152871536169785,0,-9,52,0
4.290319442749023,0.14617058268328764,0,-9,50,0
4.320319414138794,0.1594681762596684,0,-8,49,0
4.368626117706299,0.17618100242185925,0,-8,48,0
4.4118125438690186,0.1653626236210891,0,-8,47,0
4.445833683013916,0.18442606347564375,0,-7,46,0
4.475642919540405,0.20296323343296296,0,-7,45,0
4.508642196655273,0.19861328519055305,0,-6,45,0
4.539013147354126,0.22017084072068216,1,-5,56,0
4.568509817123413,0.22745998599634226,1,-4,64,0
4.5999438762664795,0.21208440763924885,1,-4,68,0
4.632766962051392,0.21803526219616165,1,-4,71,0
4.6649065017700195,0.23469316983902422,1,-2,76,0
4.712164878845215,0.24149782866843517,1,-2,80,0
4.921464681625366,0.24006409814582946,1,-1,84,0
4.960997819900513,0.23527267856548278,1,1,87,0
5.003084182739258,0.24015005817872526,1,4,89,0
5.035170316696167,0.2221832610988218,1,5,91,0
5.089980363845825,0.14367963056483718,1,6,89,0
5.134791612625122,0.15492618135867026,1,6,88,0
5.16389274597168,0.13626518557713815,1,7,87,0
5.210877418518066,0.1263292424054383,1,8,86,0
5.240541458129883,0.12085778967913491,1,8,85,0
5.2706263065338135,0.17571682423444623,1,9,85,0
5.301618337631226,0.2097060710721566,1,9,85,0
5.33715033531189,0.20338657081319012,1,9,85,0
5.36391019821167,0.2157379654392812,1,9,85,0
5.39892315864563,0.23024785863463515,2,10,88,0
5.43015193939209,0.2179483010800708,2,10,87,0
5.4576427936553955,0.22184428910223303,2,11,89,0
5.489562034606934,0.22400252227227208,2,11,91,0
5.522210597991943,0.225494008946731,2,11,92,0
5.553982734680176,0.22402574308279188,2,12,93,0
5.5854151248931885,0.22093342950328015,2,13,94,0
5.612930774688721,0.20533032926123587,2,12,92,0
5.644299268722534,0.21138180769829346,2,12,90,0
5.678626298904419,0.225505322002382,2,12,92,0
5.709625482559204,0.225505322002382,2,12,93,0
5.739984035491943,0.23441710944726846,2,12,94,0
5.7743260860443115,0.22409202585450566,2,13,95,0
5.8012473583221436,0.23610931990008288,2,13,96,0
5.834397554397583,0.21876777025068703,2,13,93,0
5.880641222000122,0.22028081457989226,2,13,94,0
5.912082195281982,0.2097866591055508,2,13,92,0
5.944087982177734,0.18782575118580522,2,14,90,0
5.974334478378296,0.1383938398557689,2,14,89,0
6.006014347076416,0.14041131899239678,2,14,88,0
6.036573171615601,0.1292741098773219,2,14,87,0
6.067099332809448,0.12277634546200522,2,13,86,0
6.099078178405762,0.10701366517782127,2,14,85,0
6.1320672035217285,0.16291657080186736,2,13,85,0
6.1611597537994385,0.17509093317936925,2,13,85,0
6.1955249309539795,0.17743470914088896,2,13,85,0
6.224498510360718,0.2086696884334862,2,14,85,0
6.270135164260864,0.2212214720901231,3,14,88,0
6.301927328109741,0.210817985956733,3,14,87,0
6.333403825759888,0.21345127441047862,3,14,86,0
6.367975473403931,0.20964717428352378,3,14,85,0
6.395519495010376,0.21584027965758895,3,14,85,0
6.4270758628845215,0.23478100456697454,3,14,88,0
6.480000257492065,0.24391580173638747,3,14,90,0
6.700952768325806,0.23487358232699124,3,14,92,0
6.7414844036102295,0.2388367897741162,3,12,93,0
6.7695536613464355,0.23086399487908787,3,12,94,0
6.802697420120239,0.23036214190023355,3,12,95,0
6.833225250244141,0.228569620874637,3,12,96,0
6.864710807800293,0.22927166240587993,3,13,96,0
6.896068334579468,0.2186855594763008,3,13,93,0
6.93407130241394,0.22959279020634107,3,13,94,0
6.973557949066162,0.24429058861694847,3,12,95,0
7.004470109939575,0.2276221279130501,3,12,96,0
7.042916297912598,0.22307858983410175,3,13,96,0
7.086496353149414,0.21267964782269855,3,14,93,0
7.113496780395508,0.23253640035248352,3,13,94,0
7.144770622253418,0.22161946919275083,3,14,95,0
7.178811311721802,0.23749308603566863,3,14,96,0
7.207019090652466,0.21353701299264327,3,14,93,0
7.2380311489105225,0.2133380153883514,3,14,91,0
7.270048141479492,0.21806996983280313,3,14,89,0
7.298797369003296,0.23810537566962803,3,14,91,0
7.329803705215454,0.21975290549936471,3,14,89,0
7.382843732833862,0.2188980173137342,3,14,88,0
7.430331230163574,0.2188980173137342,3,14,87,0
7.459669351577759,0.21681840009247522,3,14,86,0
7.492194890975952,0.21039971779126282,3,14,85,0
7.52219557762146,0.2238658997171818,4,14,88,0
7.555461645126343,0.21385920800911337,4,14,87,0
7.58855414390564,0.23012105811085964,4,15,89,0
7.625055313110352,0.2120350572526661,4,15,88,0
7.666136980056763,0.23413548192729652,4,15,90,0
7.695669412612915,0.2201931766837286,4,15,92,0
7.723339080810547,0.22071170326253672,4,15,93,0
7.754857063293457,0.21643579990784712,4,16,91,0
